,doc,word,freq
1224,16,100,3
1225,16,102,2
1226,16,103,1
1227,16,106,1
1228,16,107,1
1229,16,108,2
1230,16,109,4
1231,16,110,1
1232,16,112,1
1233,16,116,1
1234,16,117,3
1235,16,119,1
1236,16,121,8
1237,16,123,2
1238,16,124,1
1239,16,125,1
1240,16,126,5
1241,16,127,5
1242,16,128,1
1243,16,130,1
1244,16,131,4
1245,16,132,4
1246,16,134,6
1247,16,135,1
1248,16,136,1
1249,16,137,5
1250,16,140,2
1251,16,141,3
1252,16,143,1
1253,16,144,9
1254,17,128,1
1255,17,129,1
1256,17,4,1
1257,17,5,3
1258,17,134,2
1259,17,135,1
1260,17,136,4
1261,17,9,5
1262,17,139,2
1263,17,140,3
1264,17,13,1
1265,17,142,3
1266,17,15,2
1267,17,16,2
1268,17,17,3
1269,17,18,2
1270,17,19,1
1271,17,20,2
1272,17,22,1
1273,17,24,1
1274,17,28,3
1275,17,29,1
1276,17,31,3
1277,17,32,2
1278,17,6,2
1279,17,38,3
1280,17,39,1
1281,17,41,3
1282,17,42,1
1283,17,43,1
1284,17,44,1
1285,17,45,4
1286,17,47,1
1287,17,52,2
1288,17,53,1
1289,17,57,1
1290,17,58,1
1291,17,59,2
1292,17,62,2
1293,17,64,1
1294,17,66,7
1295,17,67,1
1296,17,69,6
1297,17,72,1
1298,17,74,3
1299,17,75,2
1300,17,76,5
1301,17,77,1
1302,17,79,1
1303,17,11,2
1304,17,82,1
1305,17,84,1
1306,17,89,1
1307,17,90,2
1308,17,91,4
1309,17,92,1
1310,17,94,7
1311,17,95,3
1312,17,144,1
1313,17,98,1
1314,17,99,1
1315,17,100,1
1316,17,101,3
1317,17,102,5
1318,17,103,3
1319,17,80,2
1320,17,105,1
1321,17,106,1
1322,17,107,3
1323,17,108,3
1324,17,109,1
1325,17,112,1
1326,17,113,1
1327,17,114,2
1328,17,115,2
1329,17,118,2
1330,17,121,3
1331,17,122,1
1332,17,123,1
1333,17,124,1
1334,17,125,1
1335,17,126,1
1336,17,127,1
1337,18,128,3
1338,18,64,1
1339,18,2,1
1340,18,3,1
1341,18,5,1
1342,18,134,3
1343,18,135,2
1344,18,8,1
1345,18,9,4
1346,18,10,2
1347,18,139,1
1348,18,140,3
1349,18,141,2
1350,18,143,1
1351,18,144,5
1352,18,17,1
1353,18,131,1
1354,18,23,1
1355,18,26,1
1356,18,133,1
1357,18,32,2
1358,18,34,2
1359,18,35,1
1360,18,37,1
1361,18,12,1
1362,18,40,2
1363,18,41,3
1364,18,45,2
1365,18,46,1
1366,18,47,1
1367,18,49,1
1368,18,51,2
1369,18,53,1
1370,18,54,1
1371,18,55,1
1372,18,57,3
1373,18,62,1
1374,18,63,1
1375,18,19,1
1376,18,65,1
1377,18,66,1
1378,18,67,1
1379,18,68,3
1380,18,69,1
1381,18,70,3
1382,18,73,1
1383,18,76,1
1384,18,78,3
1385,18,79,5
1386,18,11,9
1387,18,83,1
1388,18,84,1
1389,18,87,1
1390,18,88,1
1391,18,89,1
1392,18,90,2
1393,18,91,2
1394,18,93,1
1395,18,94,2
1396,18,95,1
1397,18,16,5
1398,18,98,3
1399,18,102,2
1400,18,103,2
1401,18,80,1
1402,18,107,1
1403,18,108,2
1404,18,109,1
1405,18,110,2
1406,18,111,2
1407,18,114,5
1408,18,115,7
1409,18,116,1
1410,18,121,1
1411,18,127,2
1412,19,128,1
1413,19,130,1
1414,19,3,2
1415,19,132,2
1416,19,5,1
1417,19,6,2
1418,19,137,1
1419,19,11,2
1420,19,140,1
1421,19,141,1
1422,19,142,2
1423,19,16,6
1424,19,19,3
1425,19,20,1
1426,19,22,2
1427,19,23,1
1428,19,4,1
1429,19,26,1
1430,19,30,2
1431,19,31,2
1432,19,32,3
1433,19,35,1
1434,19,134,6
1435,19,38,1
1436,19,39,1
1437,19,40,2
1438,19,41,5
1439,19,42,3
1440,19,45,3
1441,19,46,2
1442,19,47,6
1443,19,52,6
1444,19,54,1
1445,19,9,1
1446,19,57,1
1447,19,58,2
1448,19,59,1
1449,19,66,6
1450,19,67,3
1451,19,68,2
1452,19,69,2
1453,19,70,5
1454,19,73,4
1455,19,74,3
1456,19,55,1
1457,19,76,2
1458,19,77,1
1459,19,79,3
1460,19,83,1
1461,19,84,2
1462,19,90,3
1463,19,91,2
1464,19,37,2
1465,19,95,2
1466,19,144,1
1467,19,98,2
1468,19,99,3
1469,19,100,6
1470,19,101,2
1471,19,102,2
1472,19,104,1
1473,19,106,1
1474,19,108,2
1475,19,109,3
1476,19,12,1
1477,19,111,1
1478,19,113,2
1479,19,114,4
1480,19,131,2
1481,19,118,1
1482,19,121,2
1483,19,123,1
1484,19,124,2
1485,19,125,4
1486,19,127,1
1487,20,128,1
1488,20,1,2
1489,20,130,1
1490,20,131,3
1491,20,132,2
1492,20,5,2
1493,20,134,1
1494,20,129,2
1495,20,8,2
1496,20,9,4
1497,20,10,1
1498,20,11,4
1499,20,13,1
1500,20,141,1
1501,20,16,2
1502,20,17,1
1503,20,18,1
1504,20,19,2
1505,20,20,1
1506,20,22,1
1507,20,26,2
1508,20,27,2
1509,20,28,3
1510,20,29,2
1511,20,30,1
1512,20,32,1
1513,20,37,2
1514,20,41,1
1515,20,42,2
1516,20,45,5
1517,20,46,1
1518,20,47,2
1519,20,51,2
1520,20,137,1
1521,20,61,1
1522,20,62,1
1523,20,63,1
1524,20,66,2
1525,20,67,1
1526,20,69,2
1527,20,72,1
1528,20,73,2
1529,20,74,2
1530,20,77,1
1531,20,78,1
1532,20,79,6
1533,20,82,1
1534,20,84,2
1535,20,85,2
1536,20,92,2
1537,20,93,2
1538,20,94,1
1539,20,95,1
1540,20,98,1
1541,20,102,5
1542,20,103,1
1543,20,105,1
1544,20,108,2
1545,20,109,2
1546,20,111,1
1547,20,114,2
1548,20,115,1
1549,20,121,1
1550,20,125,1
1551,21,1,1
1552,21,5,1
1553,21,6,2
1554,21,9,1
1555,21,10,1
1556,21,11,5
1557,21,14,4
1558,21,16,3
1559,21,18,2
1560,21,19,8
1561,21,25,1
1562,21,26,4
1563,21,27,1
1564,21,28,6
1565,21,31,1
1566,21,32,2
1567,21,33,3
1568,21,34,2
1569,21,35,1
1570,21,36,2
1571,21,37,2
1572,21,39,1
1573,21,40,1
1574,21,41,2
1575,21,44,1
1576,21,45,6
1577,21,46,1
1578,21,47,5
1579,21,50,1
1580,21,51,1
1581,21,57,2
1582,21,58,1
1583,21,59,3
1584,21,62,3
1585,21,63,1
1586,21,65,1
1587,21,67,2
1588,21,70,12
1589,21,71,1
1590,21,72,2
1591,21,73,1
1592,21,74,1
1593,21,75,2
1594,21,76,1
1595,21,77,2
1596,21,79,1
1597,21,80,3
1598,21,82,3
1599,21,83,2
1600,21,84,1
1601,21,85,1
1602,21,86,2
1603,21,89,2
1604,21,90,1
1605,21,91,1
1606,21,93,1
1607,21,94,9
1608,21,95,1
1609,21,96,3
1610,21,97,2
1611,21,98,13
1612,21,99,3
1613,21,100,1
1614,21,101,11
1615,21,102,1
1616,21,103,4
1617,21,104,1
1618,21,108,5
1619,21,109,3
1620,21,110,1
1621,21,111,4
1622,21,113,1
1623,21,114,2
1624,21,115,2
1625,21,117,4
1626,21,120,1
1627,21,121,2
1628,21,122,1
1629,21,124,2
1630,21,128,4
1631,21,129,2
1632,21,130,1
1633,21,131,1
1634,21,132,1
1635,21,133,2
1636,21,134,1
1637,21,136,3
1638,21,137,2
1639,21,138,1
1640,21,140,3
1641,21,142,5
1642,21,143,1
1643,22,1,1
1644,22,2,1
1645,22,5,3
1646,22,6,1
1647,22,7,1
1648,22,9,7
1649,22,10,2
1650,22,11,3
1651,22,14,4
1652,22,15,1
1653,22,16,1
1654,22,19,10
1655,22,20,1
1656,22,24,1
1657,22,25,2
1658,22,26,1
1659,22,27,1
1660,22,28,3
